Studentnummer,Naam,Klas,Mentor,Instelling,Opleiding,crebo,leerweg,cohort,StudentAge,StudentGender,Dropout,Aanmel_aantal,max1studie,absence_unauthorized,absence_authorized,Richting_nan,Economie,Landbouw,Techniek,DSV,Zorgenwelzijn,Anders,VooroplNiveau_HAVO,VooroplNiveau_MBO,VooroplNiveau_basis,VooroplNiveau_educatie,VooroplNiveau_prak,VooroplNiveau_VMBO_BB,VooroplNiveau_VMBO_GL,VooroplNiveau_VMBO_KB,VooroplNiveau_VMBO_TL,VooroplNiveau_nan,VooroplNiveau_VWOplus,VooroplNiveau_other
100010,Emma Vos,3B,A. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,20,0,0,1.1,0.0,10.6,2.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100011,Lisa Mulder,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,1,1.5,0.5,13.3,1.9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100012,Liam Visser,3B,D. van Dijk,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,0,0,1.1,0.7,6.8,4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100013,Liam Mulder,3B,B. de Vries,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,1.9,0.9,2.5,4.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100014,Olaf Bosch,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,0,0,1.3,0.5,1.2,8.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100015,Fatima Jansen,3B,B. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,1.6,0.7,5.7,33.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100016,Olaf Dijkstra,3B,D. van Dijk,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,20,0,0,2.5,0.1,15.2,1.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100017,Lisa Bosch,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,0,0,1.1,0.1,2.1,25.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100018,Fatima Visser,3B,D. Peters,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,2.9,0.2,3.4,7.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100019,Mees de Groot,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,0,0,1.0,0.6,1.7,8.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100020,Liam Bakker,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,20,1,0,1.6,0.4,2.9,2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100021,Bram de Graaf,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,2.9,0.1,12.7,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100022,Yasmin Visser,3B,A. Prins,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,2.0,0.3,16.3,1.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100023,Daan Bakker,3B,D. van Dijk,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,0,1,2.3,0.3,6.6,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100024,Joris Hoekstra,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,0,0,2.7,0.6,9.9,0.9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100025,Noor Jansen,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,0,0,2.8,0.2,5.4,21.6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100026,Liam Peters,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,0,0,2.7,1.0,9.8,16.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100027,Lieke van Leeuwen,3B,A. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,2.6,0.9,2.4,20.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100028,Yasmin Meijer,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,1,1,1.7,0.8,14.5,3.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100029,Mees de Vries,3B,D. van Dijk,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,1.7,0.5,2.6,3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100030,Tess Dijkstra,3B,C. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,20,1,0,1.1,0.6,33.6,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100031,Olaf Vos,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,22,0,0,1.5,0.7,11.2,5.7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100032,Niels Huisman,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,2.2,0.7,13.9,22.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100033,Lieke Bos,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,2.1,0.2,4.4,4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100034,Fatima van Dijk,3B,F. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,1,1.4,0.8,28.0,7.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100035,Lotte Dekker,3B,C. de Boer,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,0,0,2.3,0.3,7.0,1.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100036,Stijn Vos,3B,A. Prins,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,0,0,1.1,1.0,20.5,11.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100037,Maud Bakker,3B,C. de Boer,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,2.0,0.2,6.4,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100038,Aisha Prins,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,1,1.1,0.2,26.0,12.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100039,Iris Smit,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,2.9,0.9,7.5,6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100040,Finn de Wit,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,0,2.5,0.8,21.3,6.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100041,Maud de Wit,3B,C. de Boer,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,1,1.5,0.3,11.8,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100042,Emma Smit,3B,B. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,1.8,0.2,3.2,9.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100043,Lieke Prins,3B,D. Peters,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,2.0,0.9,35.0,0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100044,Fatima Bosch,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,1.9,0.0,9.3,10.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100045,Thijs Huisman,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,0,0,2.8,0.6,15.5,14.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100046,Emma van der Berg,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,1,1.7,0.9,1.8,5.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100047,Tess van Leeuwen,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,0,0,3.0,0.3,21.6,5.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100048,Maud van der Berg,3B,A. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,0,1,1.9,0.1,16.8,23.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100049,Iris Hoekstra,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,0,0,2.6,0.2,17.5,1.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100050,Sophie de Vries,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,0,0,1.2,0.8,10.3,19.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100051,Stijn Huisman,3B,A. Prins,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,1,2.3,0.1,19.1,6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100052,Aisha Bosch,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,0,0,1.9,0.7,20.7,0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100053,Yasmin de Graaf,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,1.6,0.2,30.3,11.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100054,Yasmin Dekker,3B,B. de Vries,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,1,0,1.4,0.2,16.7,6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100055,Lotte de Groot,3B,D. Peters,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,0,1,1.2,0.7,14.5,2.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100056,Maud Mulder,3B,F. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,2.4,0.3,7.8,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100057,Sven Dijkstra,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,2.4,0.3,5.1,40.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100058,Liam Koster,3B,B. de Vries,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,0,1.6,0.6,4.5,10.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100059,Stijn Bos,3B,A. Prins,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,1,0,1.0,0.5,21.5,2.8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100060,Daan Dijkstra,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,1.9,0.4,14.3,1.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100061,Daan de Groot,3B,C. de Boer,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,0,0,1.3,0.8,1.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100062,Emma Mulder,3B,A. Prins,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,1.9,0.4,9.8,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100063,Tim Bos,3B,D. Peters,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,0,0,2.3,0.3,11.6,7.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100064,Mees Meijer,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,0,0,1.6,0.3,0.9,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100065,Emma van Dijk,3B,B. de Vries,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,0,0,1.9,0.5,30.9,12.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100066,Niels de Groot,3B,B. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,0,1.9,0.5,0.9,1.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100067,Fatima de Groot,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,2.5,0.6,9.3,4.6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100068,Mees van Dijk,3B,D. Peters,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,0,0,1.9,0.7,10.6,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100069,Lucas Smits,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,1,1.8,0.3,12.1,5.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100070,Lucas Vos,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,1.2,0.3,14.2,2.7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100071,Maud Hendriks,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,1.8,0.2,20.9,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100072,Maud Brouwer,3B,D. van Dijk,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,1.2,1.0,7.0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100073,Mees Hoekstra,3B,B. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,0,0,3.0,0.9,4.5,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100074,Liam van der Berg,3B,B. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,0,1.5,0.6,8.3,10.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100075,Niels de Graaf,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,21,1,1,1.7,0.8,16.5,1.2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100076,Aisha Bos,3B,F. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,1,0,1.7,0.6,4.3,7.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100077,Iris Vos,3B,B. de Vries,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,1,1.1,0.7,47.4,2.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100078,Olaf Hendriks,3B,C. Jansen,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,20,0,0,2.0,0.6,53.5,12.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100079,Bas Bosch,3B,C. de Boer,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,21,0,1,1.8,0.7,1.3,19.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100080,Sven Huisman,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,20,1,0,2.9,0.6,5.0,9.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100081,Sven Bosch,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,15,1,0,3.0,0.7,0.4,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100082,Liam Prins,3B,D. van Dijk,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,17,1,1,2.6,0.3,14.6,0.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100083,Noor Mulder,3B,D. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,0,0,1.2,0.9,6.4,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100084,Mees Brouwer,4B,D. Peters,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,1,0,2.8,0.7,1.9,4.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100085,Iris Peters,4B,D. Peters,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,1,0,2.7,0.2,4.3,26.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100086,Sven Visser,4B,B. de Vries,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,1,0,1.5,0.6,5.8,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100087,Finn Jansen,4B,D. Peters,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,0,0,2.2,0.4,16.4,14.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100088,Stijn de Groot,4B,D. van Dijk,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,0,0,1.6,0.4,16.9,11.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100089,Finn Smit,4B,A. Prins,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,0,0,1.3,0.5,28.8,3.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100090,Lisa de Wit,4B,C. Dijkstra,Da Vinci,Onderwijsassistent,25698,BOL,2025,15,1,0,2.6,0.5,21.3,2.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100091,Maud Mulder,4B,D. van Dijk,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,1,0,1.2,0.4,15.5,31.3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100092,Liam Dekker,4B,C. Hendriks,Da Vinci,Onderwijsassistent,25698,BOL,2025,19,0,0,2.3,0.5,13.4,8.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100093,Joris Vos,4B,D. Peters,Da Vinci,Onderwijsassistent,25698,BOL,2025,15,1,0,2.3,0.1,3.0,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100094,Daan Bos,4B,C. de Boer,Da Vinci,Onderwijsassistent,25698,BOL,2025,16,1,0,2.2,0.7,1.5,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100095,Anna Visser,4B,C. de Boer,Da Vinci,Onderwijsassistent,25698,BOL,2025,19,1,0,1.4,0.4,11.5,22.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100096,Jens Visser,4B,D. van Dijk,Da Vinci,Onderwijsassistent,25698,BOL,2025,19,0,0,2.9,0.8,5.5,18.6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100097,Sara van der Berg,4B,D. van Dijk,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,0,0,3.0,0.8,10.9,0.2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100098,Tess Prins,4B,D. Hendriks,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,0,0,1.6,1.0,2.8,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100099,Joris de Groot,4B,F. Hoekstra,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,0,1,1.7,0.8,2.3,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100100,Aisha Meijer,4B,C. Dijkstra,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,1,0,2.0,0.1,0.6,10.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100101,Stijn Jansen,4B,F. Dijkstra,Da Vinci,Onderwijsassistent,25698,BOL,2025,15,1,0,2.3,0.0,18.3,16.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100102,Bas Hendriks,4B,C. Jansen,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,0,0,1.1,0.3,13.9,5.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100103,Joris Hoekstra,4B,C. Hendriks,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,1,0,1.2,0.7,5.8,7.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100104,Anna Prins,4B,D. Hendriks,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,1,0,1.8,0.7,15.3,1.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100105,Lotte van Dijk,4B,C. Dijkstra,Da Vinci,Onderwijsassistent,25698,BOL,2025,19,0,0,1.2,0.1,5.6,1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100106,Finn Koster,4B,C. Hendriks,Da Vinci,Onderwijsassistent,25698,BOL,2025,16,0,0,1.8,0.9,20.0,6.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100107,Tim Bosch,4B,F. Dijkstra,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,0,0,2.2,0.2,0.6,2.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100108,Mees Bosch,4B,A. Prins,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,1,0,2.7,1.0,5.2,6.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100109,Stijn van Dijk,4B,D. van Dijk,Da Vinci,Onderwijsassistent,25698,BOL,2025,19,1,0,1.1,0.3,9.8,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100110,Niels Vos,4B,C. Hendriks,Da Vinci,Onderwijsassistent,25698,BOL,2025,17,0,0,1.2,0.5,0.1,16.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100111,Iris Vos,4B,B. Koster,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,0,0,2.8,0.2,5.5,10.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100112,Daan van Dijk,4B,A. Prins,Da Vinci,Onderwijsassistent,25698,BOL,2025,16,0,0,1.7,0.1,3.8,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100113,Sophie Brouwer,4B,D. Hendriks,Da Vinci,Onderwijsassistent,25698,BOL,2025,18,0,0,1.0,0.3,13.2,0.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
