Studentnummer,StudentAge,Dropout,Aanmel_aantal,max1studie,VooroplNiveau_HAVO,ROCMondriaan,VooroplNiveau_MBO,VooroplNiveau_basis,VooroplNiveau_educatie,VooroplNiveau_prak,VooroplNiveau_VMBO_BB,VooroplNiveau_VMBO_GL,VooroplNiveau_VMBO_KB,VooroplNiveau_VMBO_TL,VooroplNiveau_nan,VooroplNiveau_VWOplus,VooroplNiveau_other,Economie,Landbouw,Techniek,DSV,Zorgenwelzijn,Anders,Richting_nan,StudentGender,absence_unauthorized,absence_authorized,Opleiding,Naam,Klas,Mentor
423217,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6.0,49.0,Economie,Richard Noordenbos,3A,dhr. Hanna
422331,16,0,3.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8.0,22.0,Zorg & Welzijn,Mehmet Massaro,3A,mev. Kuiper
423151,17,0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,35.0,18.0,Economie,Richard Jansen,1B,dhr. Mulder
424182,16,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10.0,85.0,Zorg & Welzijn,Lisa Luyendijk,1A,dhr. Benjamins
422124,15,0,2.0,1.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,19.0,15.0,Zorg & Welzijn,Lucas Noordenbos,3A,mev. Safon
421286,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,29.0,63.0,Overig,Aisha De Groot,1A,dhr. Benjamins
420255,17,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16.0,22.0,Zorg & Welzijn,Steven Boussata,1B,dhr. Mulder
420655,16,0,2.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,28.0,38.0,Zorg & Welzijn,Aisha Boussata,1A,mev. Kuiper
423494,15,0,2.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.0,18.0,Economie,Lars de Vries,3A,dhr. Mulder
421491,15,0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0,36.0,Economie,Lisa Luyendijk,1A,mev. Smit
419833,16,0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,33.0,20.0,Zorg & Welzijn,Maddox Pietersen,3B,mev. Safon
426453,15,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0,36.0,Zorg & Welzijn,Daan de Vries,1B,dhr. Benjamins
426386,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10.0,32.0,Zorg & Welzijn,Paolo Kuiper,2B,mev. Hulsema
425447,15,0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,6.0,11.0,Zorg & Welzijn,Koen Mulder,1A,dhr. Benjamins
421377,18,0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,23.0,27.0,Economie,Lucas Jansen,3A,mev. Smit
408316,15,0,3.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,12.0,29.0,Zorg & Welzijn,Shane Luyendijk,1B,mev. Safon
417660,15,0,2.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31.0,14.0,Economie,Shane Massaro,3A,mev. Kuiper
418048,15,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5.0,34.0,Economie,Mehmet Noordenbos,3A,dhr. Mulder
424453,20,0,2.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10.0,26.0,Overig,Tessa Luyendijk,1A,dhr. Mulder
427058,15,0,2.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,13.0,5.0,Economie,Mehmet Groen,3A,mev. Kuiper
417593,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,7.0,40.0,Overig,Mohammed Groen,1A,mev. Safon
419035,15,0,1.0,0.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,29.0,14.0,Economie,Lisa Hol,2B,mev. Kuiper
425400,18,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14.0,24.0,Zorg & Welzijn,Aisha Bos,3B,dhr. Hanna
425481,16,0,2.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,14.0,23.0,Zorg & Welzijn,Eva Bakker,3A,dhr. Benjamins
420468,15,0,2.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,18.0,74.0,Zorg & Welzijn,Maddox Boussata,3A,mev. Smit
425998,17,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33.0,37.0,Economie,Nova Bos,3A,mev. Kuiper
418236,17,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,65.0,Zorg & Welzijn,Lucas Jansen,2A,mev. Smit
426852,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11.0,15.0,Economie,Lars De Groot,2A,dhr. Hanna
418469,20,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,16.0,55.0,Zorg & Welzijn,Mohammed Smit,1B,dhr. Mulder
428439,18,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6.0,35.0,Economie,Maddox Mulder,3B,mev. Kuiper
419893,15,0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,14.0,11.0,Economie,Lisa Smit,3B,mev. Safon
423241,20,0,2.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.0,3.0,Economie,Ali Sterk,2A,dhr. Mulder
420968,15,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,28.0,9.0,Overig,Edith Noordenbos,1B,dhr. Mulder
420450,15,0,2.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,33.0,21.0,Economie,Julia De Groot,2A,mev. Safon
417520,16,0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,7.0,27.0,Zorg & Welzijn,Mehmet Benjamins,2B,dhr. Benjamins
419013,17,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13.0,34.0,Overig,Fatima Noordenbos,1B,dhr. Benjamins
419315,15,0,2.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,14.0,19.0,Zorg & Welzijn,Emma Luyendijk,3B,mev. Kuiper
422603,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16.0,7.0,Economie,Emma Kuiper,3B,dhr. Mulder
422113,16,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18.0,32.0,Economie,Steven Benjamins,2A,mev. Kuiper
419669,16,0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,47.0,31.0,Economie,Edwin Sanchez,2B,dhr. Benjamins
431227,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,14.0,38.0,Zorg & Welzijn,Richard Jansen,2A,mev. Hulsema
371312,18,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.0,29.0,Zorg & Welzijn,Julia Luyendijk,1A,dhr. Hanna
429003,16,0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12.0,17.0,Overig,Eva Jansen,1A,mev. Kuiper
423053,15,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.0,38.0,Zorg & Welzijn,Eva Benjamins,2B,mev. Kuiper
421968,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.0,45.0,Economie,Lucas van Vleuten,3A,mev. Hulsema
419836,17,0,2.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,12.0,42.0,Zorg & Welzijn,Lucas Sterk,3A,dhr. Benjamins
418852,26,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,7.0,46.0,Zorg & Welzijn,Ameen Pietersen,1A,mev. Kuiper
386411,17,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24.0,9.0,Techniek,Shane Hol,1A,mev. Smit
424968,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.0,56.0,Zorg & Welzijn,Emma Jansen,3A,dhr. Benjamins
424557,19,0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0,14.0,Economie,Tessa Sterk,1B,dhr. Benjamins
425787,16,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12.0,48.0,Zorg & Welzijn,Julia Smit,3A,dhr. Hanna
420455,17,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0,29.0,Zorg & Welzijn,Steven Bakker,2A,mev. Kuiper
424849,16,0,2.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,14.0,42.0,Zorg & Welzijn,Julia Benjamins,1B,dhr. Mulder
418780,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31.0,5.0,Zorg & Welzijn,Sam van Vleuten,2A,dhr. De Groot
421528,15,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,8.0,20.0,Zorg & Welzijn,Aisha Boussata,1A,dhr. De Groot
419202,17,0,2.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,28.0,35.0,Techniek,Aisha Groen,1B,dhr. De Groot
417133,15,0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,29.0,13.0,Economie,Maddox Abu-Hanna,2A,dhr. Hanna
423072,15,0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,28.0,19.0,Economie,Mehmet Bakker,2A,dhr. De Groot
427194,16,0,2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10.0,16.0,Zorg & Welzijn,Maddox Noordenbos,1B,mev. Hulsema
420701,17,0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9.0,28.0,Economie,Emma Bos,2B,mev. Safon
419374,15,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,23.0,Overig,Shane De Groot,3A,dhr. Benjamins
425587,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.0,23.0,Economie,Koen Noordenbos,3B,dhr. Mulder
424201,17,0,3.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,6.0,6.0,Zorg & Welzijn,Richard Luyendijk,2A,mev. Safon
426278,19,0,2.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17.0,15.0,Zorg & Welzijn,Eva Smit,3A,dhr. Hanna
423109,16,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,15.0,20.0,Economie,Mohammed Pietersen,3B,dhr. Benjamins
421569,24,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.0,25.0,Zorg & Welzijn,Tessa Pietersen,3A,dhr. Hanna
427927,19,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7.0,23.0,Economie,Nour van Vleuten,1A,dhr. Hanna
420088,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31.0,54.0,Zorg & Welzijn,Lisa De Groot,3B,mev. Hulsema
422881,15,0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28.0,18.0,Economie,Lucas Hol,3A,mev. Smit
418740,16,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10.0,21.0,Zorg & Welzijn,Ali Sterk,2A,mev. Smit
420623,18,0,3.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,10.0,68.0,Economie,Ali Benjamins,3B,dhr. Hanna
421808,16,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,16.0,8.0,Zorg & Welzijn,Aisha Massaro,1A,dhr. De Groot
421426,15,0,2.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,10.0,31.0,Economie,Maddox de Vries,1B,mev. Safon
421214,18,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,16.0,38.0,Techniek,Julia Groen,2A,dhr. De Groot
415458,18,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25.0,4.0,Zorg & Welzijn,Tessa Massaro,1A,mev. Kuiper
420230,16,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.0,16.0,Overig,Daan Massaro,1A,dhr. Hanna
422126,16,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5.0,27.0,Zorg & Welzijn,Julia Abu-Hanna,3B,mev. Kuiper
418050,15,0,1.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,13.0,56.0,Zorg & Welzijn,Nour Kuiper,3A,dhr. De Groot
425961,16,0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21.0,16.0,Zorg & Welzijn,Arantxa Massaro,1B,mev. Kuiper
419658,16,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,46.0,83.0,Zorg & Welzijn,Maddox Boussata,2A,dhr. Hanna
422290,15,0,5.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,12.0,48.0,Economie,Steven Abu-Hanna,2A,mev. Hulsema
424693,16,0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,14.0,56.0,Economie,Eva Massaro,3A,mev. Smit
421065,17,0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,21.0,94.0,Zorg & Welzijn,Edith De Groot,1B,mev. Safon
423622,16,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,36.0,Zorg & Welzijn,Koen Pietersen,3B,mev. Kuiper
421332,15,0,3.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6.0,20.0,Overig,Tessa Bos,2A,dhr. Hanna
422029,17,0,2.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,5.0,9.0,Economie,Mehmet Groen,1B,mev. Hulsema
419383,16,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11.0,32.0,Economie,Daan Bakker,3B,dhr. De Groot
427646,17,0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12.0,21.0,Economie,Aisha Bakker,3B,mev. Smit
422950,16,0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25.0,15.0,Overig,Lars Sanchez,2A,dhr. Hanna
416450,20,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.0,37.0,Zorg & Welzijn,Paolo Benjamins,3A,mev. Safon
425621,15,0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.0,32.0,Zorg & Welzijn,Nova De Groot,2B,dhr. De Groot
426618,15,0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57.0,24.0,Overig,Mohammed Hol,2A,mev. Hulsema
423957,17,0,2.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,15.0,73.0,Zorg & Welzijn,Mohammed Sanchez,1A,dhr. De Groot
420728,17,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,18.0,50.0,Zorg & Welzijn,Ali Boussata,1A,dhr. Mulder
392049,15,0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4.0,16.0,Zorg & Welzijn,Fatima Kuiper,3B,dhr. De Groot
423132,17,0,3.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10.0,7.0,Economie,Lucas Benjamins,2B,mev. Kuiper
422360,16,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,33.0,30.0,Economie,Arantxa Mulder,2A,dhr. De Groot
424854,17,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11.0,78.0,Zorg & Welzijn,Mehmet de Vries,1A,mev. Hulsema
424933,16,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.0,83.0,Zorg & Welzijn,Lars Benjamins,1A,dhr. De Groot
